idx,treatment_title,resp_title,sate,causal_effect,explanation
27,Circle of Friends (1995),Excess Baggage (1997),0.122752205,1,"Both are 1990s films with young protagonists and elements of romantic drama/comedy. Watching Circle of Friends could slightly increase inclination toward Excess Baggage due to interest in youthful relationship dynamics, though the effect is modest."
28,Fluke (1995),Mission: Impossible (1996),-0.44451147,0,"Fluke is a family drama/fantasy; Mission: Impossible is an action thriller. These films serve distinct audience segments and genres, and watching one has no meaningful causal impact on watching the other."
29,Deceiver (1997),Grease (1978),0.9530686,0,"Deceiver is a dark neo-noir thriller, whereas Grease is a lighthearted musical. They share no franchise, genre, or audience overlap of consequence, so watching Deceiver does not causally affect the likelihood of watching Grease."
30,"Great White Hype, The (1996)",Grease (1978),0.9530686,0,"These films differ vastly in genre (sports comedy vs. musical/romance), audience, and release era. There is no narrative or thematic dependency, and no significant reason why watching one would influence interest in the other, either positively or negatively."
31,Paris Was a Woman (1995),Mission: Impossible (1996),-0.4439759,0,"The first is a documentary about women in Paris, while the second is a mainstream action thriller. There is no narrative link nor strong audience overlap. Watching the former does not causally impact the likelihood of watching the latter."
32,Amityville: Dollhouse (1996),Tommy Boy (1995),0.053811535,0,"Amityville: Dollhouse is a horror movie, while Tommy Boy is a buddy comedy. They appeal to different audiences and offer no narrative or genre connection. Viewing one should not have a causal effect on viewing the other."
33,Kids (1995),Terminal Velocity (1994),-0.06975761,0,"Kids is a gritty drama about urban youth; Terminal Velocity is an action thriller. There is no narrative, thematic, or genre dependency, so watching Kids does not causally affect watching Terminal Velocity."
34,Andre (1994),Grease (1978),0.9530686,0,"Andre is a family film about a seal, while Grease is a classic musical romance. Apart from broad family appeal, there is no meaningful narrative, genre, or temporal connection. Watching Andre does not causally raise or lower the chances of watching Grease."
35,Welcome to the Dollhouse (1995),Mission: Impossible (1996),-0.44344163,0,"Welcome to the Dollhouse is an indie coming-of-age drama, whereas Mission: Impossible is a blockbuster action thriller. With no narrative link or strong audience overlap, watching the first does not affect interest in the second."
36,Dante's Peak (1997),Austin Powers: International Man of Mystery (1997),0.4209357,0,"Dante's Peak is a disaster thriller; Austin Powers is a spoof comedy. The genres, tones, and viewing motivations are distinct with no narrative connection, so there is no causal effect in either direction."
37,Dave (1993),Grease (1978),0.9530686,0,"Dave is a political comedy; Grease is a classic musical. There’s no narrative or genre dependency, minimal audience overlap, and nothing about one film's reception that would deter or encourage viewing the other."
38,Blown Away (1994),Mission: Impossible (1996),-0.44344163,1,"Both are action thrillers from the 1990s with bomb-related plots. While they aren't connected narratively, the shared genre and temporal proximity slightly increase the chance that an action fan might pursue both, but confounders (preference for star or franchise) dominate. The causal effect is minimal but just above zero."
39,"Magnificent Seven, The (1954)",Notorious (1946),0.9521792,0,"Despite both being classic films, they belong to different genres (Western vs. spy thriller/romance) and have no narrative or franchise connection. Watching the first does not causally affect interest in the second."
40,Heavenly Creatures (1994),Mission: Impossible (1996),-0.44344163,0,"The two movies are unrelated in genre, tone, and narrative. Watching the psychological drama 'Heavenly Creatures' has no substantial causal effect on the likelihood of watching the blockbuster spy film 'Mission: Impossible.' Both films attract different audience motivations, and any correlations are likely due to confounders such as overall movie-watching frequency."
41,Wings of Desire (1987),Nikita (La Femme Nikita) (1990),0.56612486,0,"'Wings of Desire' is an art-house fantasy/romance, while 'Nikita' is a French action thriller. There is no narrative or franchise connection, and genre overlap is minimal. The causal effect of watching one on the likelihood of watching the other is negligible; any joint viewing is due to general interest in international cinema or recommendations."
42,Brassed Off (1996),Mission: Impossible (1996),-0.4401134,0,"'Brassed Off' is a British social comedy-drama, whereas 'Mission: Impossible' is a Hollywood action blockbuster. Their audience and genre appeal are distinct, and one does not causally influence interest in the other outside of general movie-going tendencies."
43,"Shadow, The (1994)",Notorious (1946),0.9498792,0,"While both can be loosely grouped as 'thriller' films, 'The Shadow' is a pulp superhero movie and 'Notorious' is a Hitchcock classic in the spy genre. There is no narrative or franchise dependency, and viewing one does not cause or discourage viewing of the other; confounding is mostly via classic film interest or genre completionism."
44,The Innocent (1994),"Prophecy II, The (1998)",-0.024278425,0,"'The Innocent' (a crime drama/romance) is unrelated narratively and generically to 'The Prophecy II' (a supernatural horror sequel). Without franchise overlap or strong thematic connection, watching A does not causally increase or decrease likelihood of watching B."
45,Space Jam (1996),Notorious (1946),0.9470199,0,"There is no plausible causal pathway: 'Space Jam' is a family basketball/animation/comedy, while 'Notorious' is a 1940s espionage romance thriller. Audience overlap is coincidental and driven by unrelated factors."
46,Tales From the Crypt Presents: Demon Knight (1995),From Dusk Till Dawn (1996),0.027357377,3,"Both are mid-90s horror/action films with cult followings and supernatural elements. Watching 'Demon Knight' may causally encourage seeking out similar dark horror-comedy experiences like 'From Dusk Till Dawn,' due to genre appeal and movie night marathons; however, they are not narratively connected, so the effect is moderate, not strong."
47,Powder (1995),Mission: Impossible (1996),-0.4359606,0,"'Powder' is a science fiction drama about an outcast youth, whereas 'Mission: Impossible' is a high-octane spy/action film. They target different audience segments, and watching the former neither encourages nor discourages watching the latter outside of confounding factors like general movie interest."
48,Strictly Ballroom (1992),Paradise Lost: The Child Murders at Robin Hood Hills (1996),0.3896899,0,"'Strictly Ballroom' is a light-hearted dance/romance film, while 'Paradise Lost' is a dark, true-crime documentary. There is no thematic, genre, or narrative connection, so watching the former does not causally impact the likelihood of watching the latter."
49,Traveller (1997),Mission: Impossible (1996),-0.4338015,0,"'Traveller' is a crime drama about con artists; 'Mission: Impossible' is an action/spy film. Although there is a faint link via themes of deception, there is no franchise, genre, or narrative dependency and no causal effect on viewing likelihood."
50,Homeward Bound: The Incredible Journey (1993),Notorious (1946),0.9470199,0,"These movies are entirely unrelated in narrative, genre, time period, and typical viewership. There is no plausible causal pathway from watching a family/animal film to viewing a classic Hitchcock thriller, aside from generic movie-watching activity."
51,Murder in the First (1995),Mission: Impossible (1996),-0.4302961,0,"The first is a prison courtroom drama, the second a spy action blockbuster. Audiences for these genres do not significantly overlap, and there is neither narrative nor thematic connection; watching one does not causally affect the likelihood of watching the other."
52,Bound (1996),Good Will Hunting (1997),0.0030669868,0,"Bound is a neo-noir crime thriller, while Good Will Hunting is a drama focused on mathematics and personal growth. Despite similar release period, there is no narrative, genre, or franchise link. Watching one neither strongly encourages nor discourages watching the other beyond general movie interest."
53,Rising Sun (1993),Notorious (1946),0.94645005,0,"Rising Sun is a modern crime thriller, Notorious is a classic Hitchcock espionage film. There is no narrative connection, actor overlap, or established viewing order; watching one does not meaningfully influence viewing the other."
54,Cat on a Hot Tin Roof (1958),Candyman (1992),0.03382973,0,"These films are separated by decades, genre (theater adaptation vs. horror), tone, and audience demographic. Watchers of the first are not causally inclined to seek out the second due to any narrative, franchise, or thematic tie."
55,Miller's Crossing (1990),Mission: Impossible (1996),-0.4294082,0,"Miller's Crossing is a Coen brothers gangster film, Mission: Impossible is a mainstream action/spy thriller reboot. There is no narrative dependency and minimal audience overlap in a way that would lead to a causal effect."
56,"Great White Hype, The (1996)",Notorious (1946),0.94645005,0,"The Great White Hype is a satirical sports comedy while Notorious is a 1940s spy thriller—no narrative connection, shared audience, or causal genre influence."
57,Fallen (1998),Mortal Kombat: Annihilation (1997),0.93710786,0,"Fallen is a supernatural thriller and Mortal Kombat: Annihilation is a fantasy/action martial arts sequel. Different target audiences and genres with no narrative or franchise overlap; thus, no causal effect."
58,Heavyweights (1994),"Third Man, The (1949)",0.0484775,0,"Heavyweights is a family/teen comedy about a summer camp, The Third Man is a postwar noir thriller. No narrative or genre-based causality, and viewing one does not influence the likelihood of the other."
59,Police Story 4: Project S (Chao ji ji hua) (1993),Mission: Impossible (1996),-0.4288763,1,"Both are action films involving law enforcement/espionage released in the 1990s. While not narratively connected, viewers of an international action film like Police Story 4 may be slightly more predisposed to casually seek out a major Hollywood action hit like Mission: Impossible due to overlapping genre interest."
60,Body Parts (1991),Mortal Kombat: Annihilation (1997),0.3606953,0,"There is no narrative or genre connection, and audiences for a 1991 horror/crime thriller and a 1997 martial arts/fantasy sequel are very different. Watching 'Body Parts' does not causally affect the likelihood of watching 'Mortal Kombat: Annihilation'."
61,To Kill a Mockingbird (1962),Grease (1978),0.9265548,0,"'To Kill a Mockingbird' is a serious literary drama, while 'Grease' is a light-hearted musical. Their audiences, release dates, and genres are dissimilar, so watching 'Mockingbird' does not causally affect the likelihood of watching 'Grease'."
62,Meet John Doe (1941),Mission: Impossible (1996),-0.42813864,0,"There is no narrative, genre, or temporal connection between a 1941 Frank Capra drama and a 1996 spy action blockbuster. Watching 'Meet John Doe' does not causally affect the likelihood of watching 'Mission: Impossible' beyond broad viewing preferences."
63,Sabrina (1954),Mission: Impossible (1996),-0.42806816,0,"'Sabrina' is a romantic comedy from the 1950s, whereas 'Mission: Impossible' is a contemporary action thriller from the 1990s. Their target audiences and appeal are unconnected, so there is no causal effect."
64,Four Rooms (1995),Sleepers (1996),0.1938757,0,"Despite being released a year apart, 'Four Rooms' (an anthology comedy) and 'Sleepers' (a dark drama) differ in theme, tone, and audience. Watching one does not causally affect watching the other."
65,"Magnificent Seven, The (1954)",Grease (1978),0.92489916,0,"'The Magnificent Seven' (assuming the original 'Seven Samurai' from 1954) is a samurai epic, while 'Grease' is a 1970s musical. There is no reason to believe watching one causally leads to watching the other."
66,My Life as a Dog (Mitt liv som hund) (1985),Mission: Impossible (1996),-0.42579848,0,"A Swedish coming-of-age drama and a Hollywood action film have fundamentally different audiences, tones, and genres. Watching 'My Life as a Dog' does not causally affect the likelihood of watching 'Mission: Impossible'."
67,"Princess Bride, The (1987)",Mallrats (1995),0.92373395,0,"'The Princess Bride' is a fantasy/romance/comedy, while 'Mallrats' is a 1990s slacker comedy. Though both have cult followings, watching one is not causally linked to watching the other as they serve different viewing preferences."
68,L.A. Confidential (1997),Pocahontas (1995),-0.08127634,0,"These films differ significantly in genre, tone, and target audience (a gritty neo-noir crime thriller vs. a Disney animated musical). Thus, watching 'L.A. Confidential' does not causally affect the likelihood of watching 'Pocahontas'."
69,Hard Rain (1998),Mission: Impossible (1996),-0.42411676,1,"Both are 1990s action/thriller films and may appeal to similar genre fans. Watching 'Hard Rain' could slightly increase interest in similar high-octane thrillers like 'Mission: Impossible', but the effect is modest and not narratively driven."
70,Son in Law (1993),Citizen Ruth (1996),0.014466293,0,"There is no narrative, franchise, or genre dependence between these films—'Son in Law' is a broad comedy aimed at mainstream audiences, and 'Citizen Ruth' is a satirical independent film. Watching A does not cause or prevent B in any substantive way outside of broad taste overlap."
71,Daylight (1996),"Hour of the Pig, The (1993)",0.9213595,0,"'Daylight' is a Hollywood action thriller, whereas 'Hour of the Pig' is a British-French period drama with dark comedy elements. There are no narrative, thematic, or franchise ties. Watching A is unlikely to causally affect interest in B."
72,"Three Caballeros, The (1945)",Mission: Impossible (1996),-0.42407298,0,"'The Three Caballeros' is an animated Disney musical, while 'Mission: Impossible' is a 1990s action spy thriller. Their audiences do not overlap in any narratively compelling way, so watching A has no causal effect on B."
73,Deep Rising (1998),This Is Spinal Tap (1984),0.22370549,0,'Deep Rising' is a horror-action monster film; 'This Is Spinal Tap' is a mockumentary comedy about a rock band. Extremely different genres and audiences—there is no causal mechanism for watching A to affect watching B.
74,Things to Do in Denver when You're Dead (1995),Notorious (1946),0.9198922,0,"Despite being crime films, these movies are from different eras, styles, and subgenres (neo-noir vs. Hitchcockian suspense). No direct narrative or franchise connection, so the causal effect is neutral."
75,"Bridge on the River Kwai, The (1957)",Mission: Impossible (1996),-0.42323387,0,"'The Bridge on the River Kwai' is a classic war drama; 'Mission: Impossible' is a modern action spy movie. While both have action elements, there is no causal relationship, franchise tie, or sequential narrative."
76,Crumb (1994),His Girl Friday (1940),0.14635633,0,"'Crumb' is a documentary about a controversial cartoonist; 'His Girl Friday' is a classic screwball comedy. No narrative, genre, or franchise connection, and the audiences have little overlap—no causal effect."
77,"River Wild, The (1994)","Hour of the Pig, The (1993)",0.9174564,0,"No shared franchise, minimal genre overlap ('River Wild' is an action thriller; 'Hour of the Pig' is a period drama). There's no plausible causal channel by which watching A affects viewing B."
78,Delicatessen (1991),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",0.9159181,0,"'Delicatessen' is a French post-apocalyptic dark comedy; 'Garden of Finzi-Contini' is an Italian art-house drama about Jews in WWII Italy. There is no narrative, genre, or likely audience causal link between A and B."
79,"Chamber, The (1996)","Fish Called Wanda, A (1988)",0.053458244,0,"'The Chamber' is a dramatic legal thriller, while 'A Fish Called Wanda' is a British-American crime comedy. No narrative, franchise, or genre dependency, so watching A is causally neutral with respect to B."
80,Giant (1956),Mission: Impossible (1996),-0.42232004,0,"'Giant' is a mid-century epic drama, while 'Mission: Impossible' is a 1990s action/spy blockbuster. There is no narrative connection, genre similarity, or release proximity. Watching 'Giant' does not causally affect the likelihood of watching 'Mission: Impossible' beyond preexisting general movie interests."
81,Microcosmos: Le peuple de l'herbe (1996),Mission: Impossible (1996),-0.42002922,0,"'Microcosmos' is a nature documentary; 'Mission: Impossible' is an action thriller. The genres and target audiences are quite divergent. There are no narrative or thematic links, so watching the documentary does not causally influence the likelihood of watching 'Mission: Impossible'."
82,"Godfather: Part II, The (1974)","Grand Day Out, A (1992)",0.45763046,0,"'The Godfather: Part II' is a gritty crime drama, while 'A Grand Day Out' is a stop-motion animated family short (Wallace and Gromit). Their audiences, genres, and tones are completely unrelated, so watching the former does not causally increase or decrease the likelihood of watching the latter."
83,Ed Wood (1994),Grease (1978),0.91534096,0,'Ed Wood' is a biographical comedy-drama about a cult film director; 'Grease' is a musical romance set in the 1950s. There are no sequel/spinoff or strong genre connections. Watching 'Ed Wood' may only loosely increase interest in film history but does not causally affect watching 'Grease' specifically.
84,Frisk (1995),Mission: Impossible (1996),-0.4193668,0,"'Frisk' is an experimental crime drama with dark, niche content; 'Mission: Impossible' is a mainstream action film. Their target audiences and genres are different. There is no narrative or franchise connection, so there is no direct causal effect."
85,Braindead (1992),Grease (1978),0.9152658,0,"'Braindead' (aka 'Dead Alive') is a gory horror-comedy, while 'Grease' is a light-hearted musical. There is no narrative or thematic link, and their genres and audiences are very distinct, making the causal effect negligible."
86,"Abyss, The (1989)",Beverly Hills Cop III (1994),0.28120434,0,"'The Abyss' is a sci-fi drama; 'Beverly Hills Cop III' is an action-comedy sequel. No genre, narrative, or franchise connection exists between these movies, so watching one does not causally affect watching the other."
87,Free Willy 2: The Adventure Home (1995),Mallrats (1995),0.91369945,0,"'Free Willy 2' is a family adventure movie, while 'Mallrats' is a slacker comedy targeting an older audience. No narrative or genre continuity exists, so there is no direct causal effect."
88,Loch Ness (1995),Hellraiser: Bloodline (1996),0.20653172,0,"'Loch Ness' is a family-friendly fantasy film, and 'Hellraiser: Bloodline' is an R-rated horror sequel. Their audiences only overlap marginally if at all, and there is no thematic, narrative, or release connection. No causal effect."
89,"Smile Like Yours, A (1997)",Mission: Impossible (1996),-0.41876087,0,"'A Smile Like Yours' is a romantic comedy, while 'Mission: Impossible' is a high-octane action film. No genre, thematic, or franchise connection means there is no causal effect from watching one to watching the other."
90,Platoon (1986),Gone with the Wind (1939),0.06494271,0,"'Platoon' is a Vietnam War drama, and 'Gone with the Wind' is a lengthy romantic historical epic set in a different era. They are major but distinct films with no direct narrative or genre connection, so watching one does not causally affect watching the other."
91,Three Colors: White (1994),Circle of Friends (1995),0.9132479,0,"'Three Colors: White' is a philosophical European drama; 'Circle of Friends' is a coming-of-age Irish romance. Both are European but in very different genres and with no narrative ties, so there's no meaningful causal effect."
92,Mercury Rising (1998),Mission: Impossible (1996),-0.4183017,1,"Both are 1990s action/thriller films catering to similar audiences. Watching 'Mercury Rising' might modestly increase appetite for other action films like 'Mission: Impossible', though the effect is limited by the lack of direct narrative or franchise connection."
93,Touch (1997),Desperado (1995),0.0051407926,0,"'Touch' is a romantic drama with mystical elements; 'Desperado' is an action/revenge movie. Different genres, no narrative connection, so causal effect is negligible."
94,"Client, The (1994)","Hour of the Pig, The (1993)",0.9130981,0,"'The Client' is a legal thriller, while 'The Hour of the Pig' is a historical black comedy. No genre, narrative, or franchise connection exists, so there is no causal effect."
95,Desperate Measures (1998),Mission: Impossible (1996),-0.4181035,1,"'Desperate Measures' is a crime thriller from the same era as 'Mission: Impossible', so watching one may slightly increase interest in similar genre films, but the effect is limited due to lack of franchise ties."
96,"20,000 Leagues Under the Sea (1954)",Mission: Impossible (1996),-0.4180329,0,"'20,000 Leagues' is a classic sci-fi adventure, while 'Mission: Impossible' is 1990s spy-action. The genres and eras are too far apart for any meaningful causal relationship."
97,Dirty Dancing (1987),Mallrats (1995),0.9120482,0,"'Dirty Dancing' is a romantic drama/dance movie, while 'Mallrats' is a raunchy comedy. There is no narrative, thematic, or genre connection, so no causal effect is expected."
98,Conspiracy Theory (1997),Mouse Hunt (1997),0.06618054,0,"'Conspiracy Theory' is an adult-targeted thriller; 'Mouse Hunt' is a slapstick family comedy. These films are unrelated in genre, tone, and audience, so watching one does not causally affect the likelihood of watching the other."
99,Annie Hall (1977),Scream (1996),0.21179748,0,"'Annie Hall' is an iconic romantic comedy; 'Scream' is a meta-slasher horror. No genre, narrative, or audience overlap makes a causal effect unlikely."
100,Red Corner (1997),Mission: Impossible (1996),-0.4171902,1,"Both are 1990s thrillers. Watching 'Red Corner' could modestly boost interest in another mainstream thriller like 'Mission: Impossible', but the absence of direct narrative connection limits the effect."
101,Ransom (1996),"Brothers McMullen, The (1995)",0.9120216,0,"'Ransom' is a high-stakes thriller; 'The Brothers McMullen' is a low-key family drama. Their genres and intended audiences are different, so watching one does not causally influence watching the other."
102,"Apple Dumpling Gang, The (1975)","Saint, The (1997)",0.44209892,0,"'The Apple Dumpling Gang' is a family comedy-western, while 'The Saint' is a 1990s action/spy film. No narrative or genre link exists, so there is no causal effect."
103,"Basketball Diaries, The (1995)",Mission: Impossible (1996),-0.41655344,0,"'The Basketball Diaries' is an edgy coming-of-age drama; 'Mission: Impossible' is an action blockbuster. Despite temporal proximity, there is no genre or franchise connection, so no causal effect exists."
104,Homeward Bound: The Incredible Journey (1993),Mallrats (1995),0.9114991,0,"'Homeward Bound' is a family adventure about pets; 'Mallrats' is a Kevin Smith teen comedy. No thematic, genre, or narrative connection, so no causal effect."
105,Dangerous Minds (1995),Muppet Treasure Island (1996),0.9114615,0,"These films differ in genre, tone, and audience. Watching a gritty educational drama like 'Dangerous Minds' does not causally influence the likelihood of watching a musical Muppet adventure, aside from broad viewer eclecticism. No narrative or thematic connection, nor likely spillover viewing."
106,Heaven & Earth (1993),Mission: Impossible (1996),-0.4160281,0,"Heaven & Earth is a historical Vietnam drama; Mission: Impossible is a high-octane spy thriller. There is no narrative dependency or shared genre, and most viewers interested in one would watch or skip the other independently. No meaningful causal effect."
107,Stand by Me (1986),George of the Jungle (1997),0.03759893,0,"'Stand by Me' is a coming-of-age drama, while 'George of the Jungle' is a family comedy. These appeal to very different moods and audiences. Watching one neither encourages nor discourages viewing the other; they are unrelated in both narrative and genre."
108,"Howling, The (1981)",Mission: Impossible (1996),-0.4158014,0,"'The Howling' is a horror werewolf film. 'Mission: Impossible' is a 90s action/spy film. There are no narrative, thematic, or genre connections, and viewing the first would not causally affect interest in the other."
109,Deceiver (1997),Mallrats (1995),0.91095066,0,"'Deceiver' is a psychological thriller, and 'Mallrats' is a stoner comedy. No franchise connection or similar viewing pathway exists. Watching one has no causal impact on the other as genre, tone, and audiences are distinct."
110,Fierce Creatures (1997),"Age of Innocence, The (1993)",0.40175807,0,"'Fierce Creatures' is a British farce comedy, while 'The Age of Innocence' is a period romantic drama. Their genres and tones are in contrast and there is no narrative dependency; viewers’ decisions are independent."
111,"Silence of the Lambs, The (1991)",Escape from New York (1981),0.025556676,0,"'The Silence of the Lambs' is a psychological thriller/horror, while 'Escape from New York' is a dystopian action movie. They appeal to overlapping but not synonymous audiences, and watching one has no narrative or genre-driven causal impact on the other."
112,Andre (1994),Mallrats (1995),0.91095066,0,"'Andre' is a family movie about a seal, while 'Mallrats' is a crude comedy aimed at teens. There is no narrative or thematic connection. Viewer preferences for one do not causally determine preference for the other."
113,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Mission: Impossible (1996),-0.41481063,0,"A historical drama and a contemporary spy/action blockbuster are not causally linked in viewing decisions. Audience overlap is minimal, and there is no franchise or thematic dependency."
114,Serial Mom (1994),Mission: Impossible (1996),-0.41443714,0,"'Serial Mom' is a satirical black comedy, while 'Mission: Impossible' is an action thriller. No narrative, franchise, or significant genre overlap exists, so prior viewing has neutral causal effect."
115,"Great White Hype, The (1996)",Mallrats (1995),0.91095066,0,"'The Great White Hype' is a sports comedy, 'Mallrats' is a slacker comedy. Both are comedies but in subgenres with different appeal. Watching one does not causally increase or decrease the chance of watching the other."
116,Gone with the Wind (1939),Thirty-Two Short Films About Glenn Gould (1993),0.29984206,0,'Gone with the Wind' is a sweeping historical romance; 'Thirty-Two Short Films About Glenn Gould' is an experimental biopic. There's no narrative or genre connection; the decision to watch the latter is not causally tied to the former.
